Method,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,CLASS
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/XmlConfigFileTest.java.testWhenConfigRepositoryHasErrorAndThenRecovered,5,1,11,13,0,4,0,11,0,0,0,0,0,0,2,0,4,0,0,0,0,0,24,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/XmlConfigFileTest.java.testOnRepositoryChange,8,1,14,27,0,9,0,14,0,0,0,0,0,0,2,1,9,0,0,1,0,0,22,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/XmlConfigFileTest.java.testOnRepositoryChangeWithContentAdded,8,1,14,25,0,8,0,14,0,0,0,0,0,0,1,1,8,0,0,1,0,0,25,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/XmlConfigFileTest.java.testWhenHasNoContent,4,1,7,6,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/XmlConfigFileTest.java.testWhenConfigRepositoryHasError,4,1,7,6,0,1,0,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,15,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/TxtConfigFileTest.java.testWhenHasContent,5,1,10,12,0,4,0,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,17,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/LocalFileConfigRepositoryTest.java.testLoadConfigWithNoLocalFileMultipleTimes,2,1,7,10,0,4,0,7,0,0,0,0,0,0,1,0,4,0,0,0,0,0,27,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/LocalFileConfigRepositoryTest.java.testLoadConfigWithLocalFileAndFallbackRepo,3,1,7,10,0,4,0,7,1,1,0,0,0,0,2,0,4,1,0,0,0,0,21,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/LocalFileConfigRepositoryTest.java.testOnRepositoryChange,7,1,18,17,0,5,0,18,0,0,0,0,0,0,2,1,5,0,0,0,0,0,23,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/LocalFileConfigRepositoryTest.java.testLoadConfigWithLocalFile,3,1,7,12,0,5,0,7,1,2,0,0,0,0,2,0,5,0,0,0,0,0,21,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/internals/LocalFileConfigRepositoryTest.java.testLoadConfigWithNoLocalFile,2,1,7,7,0,2,0,7,0,0,0,0,0,0,1,0,2,0,0,0,0,0,26,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/property/PlaceholderHelperTest.java.testExtractInvalidPlaceholderKeys,2,1,3,4,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/property/PlaceholderHelperTest.java.testExtractPlaceholderKeysFromExpression,3,1,4,14,0,0,0,4,1,1,0,0,0,0,36,0,0,0,0,0,0,0,12,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/boot/ApolloApplicationContextInitializerTest.java.testFillFromEnvironmentWithNoPropertyFromEnvironment,3,1,4,8,0,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,13,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/boot/ApolloApplicationContextInitializerTest.java.testFillFromEnvironmentWithSystemPropertyAlreadyFilled,3,1,8,24,0,9,0,8,0,0,0,0,0,0,14,0,9,0,0,0,0,0,25,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/boot/ApolloApplicationContextInitializerTest.java.testFillFromEnvironment,3,1,7,16,0,5,0,7,0,0,0,0,0,0,8,0,5,0,0,0,0,0,19,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/config/ConfigPropertySourceTest.java.testAddChangeListener,4,1,11,16,0,3,0,11,0,0,0,0,0,0,0,1,3,0,0,1,0,0,23,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/config/ConfigPropertySourceTest.java.testGetPropertyNames,3,1,10,9,0,4,0,10,0,0,0,0,0,0,2,1,4,0,0,0,0,0,14,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/config/ConfigPropertySourceTest.java.testGetEmptyPropertyNames,3,1,6,4,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,AR
/home/luana-martins/.jnose_projects/apollo/apollo-client/src/test/java/com/ctrip/framework/apollo/spring/config/ConfigPropertySourceTest.java.testGetProperty,3,1,8,7,0,2,0,8,0,0,0,0,0,0,2,1,2,0,0,0,0,0,11,1,0,AR
